Kod;Wyszczególnienie;Rok;Wartosc;Jednostka miary
4300000000;linie tramwajowe;2013;229;km
4300000000;linie tramwajowe;2014;239,3;km
4300000000;linie tramwajowe;2015;243,7;km
4320000000;linie komunikacji miejskiej;2012;1621;km
4320000000;linie komunikacji miejskiej;2013;1614;km
4320000000;linie komunikacji miejskiej;2014;1642,2;km
4320000000;linie komunikacji miejskiej;2015;1831,3;km
4320000000;linie komunikacji miejskiej na wsi;2012;261;km
4320000000;linie komunikacji miejskiej na wsi;2013;261;km
4320000000;linie komunikacji miejskiej na wsi;2014;272;km
4320000000;linie komunikacji miejskiej na wsi;2015;354,3;km
4320000000;linie autobusowe;2012;1519;km
4320000000;linie autobusowe;2013;1508;km
4320000000;linie autobusowe;2014;1536,3;km
4320000000;linie autobusowe;2015;1717,5;km
4320000000;linie tramwajowe;2012;102;km
4320000000;linie tramwajowe;2013;106;km
4320000000;linie tramwajowe;2014;105,9;km
4320000000;linie tramwajowe;2015;113,8;km
5020000000;linie komunikacji miejskiej;2012;3344;km
5020000000;linie komunikacji miejskiej;2013;3179;km
5020000000;linie komunikacji miejskiej;2014;3282,9;km
5020000000;linie komunikacji miejskiej;2015;3606,5;km
5020000000;linie komunikacji miejskiej na wsi;2012;756;km
5020000000;linie komunikacji miejskiej na wsi;2013;878;km
5020000000;linie komunikacji miejskiej na wsi;2014;901,7;km
5020000000;linie komunikacji miejskiej na wsi;2015;1087,8;km
5020000000;linie autobusowe;2012;3082;km
5020000000;linie autobusowe;2013;2917;km
5020000000;linie autobusowe;2014;3021;km
5020000000;linie autobusowe;2015;3333,2;km
5020000000;linie tramwajowe;2012;262;km
5020000000;linie tramwajowe;2013;262;km
5020000000;linie tramwajowe;2014;261,9;km
5020000000;linie tramwajowe;2015;273,3;km
5160000000;linie komunikacji miejskiej;2012;588;km
5160000000;linie komunikacji miejskiej;2013;659;km
5160000000;linie komunikacji miejskiej;2014;658;km
5160000000;linie komunikacji miejskiej;2015;692,3;km
5160000000;linie komunikacji miejskiej na wsi;2012;216;km
5160000000;linie komunikacji miejskiej na wsi;2013;228;km
5160000000;linie komunikacji miejskiej na wsi;2014;229;km
5160000000;linie komunikacji miejskiej na wsi;2015;241;km
5160000000;linie autobusowe;2012;588;km
5160000000;linie autobusowe;2013;659;km
5160000000;linie autobusowe;2014;658;km
5160000000;linie autobusowe;2015;692,3;km
5160000000;linie tramwajowe;2012;0;km
5160000000;linie tramwajowe;2013;0;km
5160000000;linie tramwajowe;2014;0;km
5160000000;linie tramwajowe;2015;0;km
6040000000;linie komunikacji miejskiej;2012;1529;km
6040000000;linie komunikacji miejskiej;2013;2173;km
6040000000;linie komunikacji miejskiej;2014;1668,8;km
6040000000;linie komunikacji miejskiej;2015;1760,5;km
6040000000;linie komunikacji miejskiej na wsi;2012;143;km
6040000000;linie komunikacji miejskiej na wsi;2013;602;km
6040000000;linie komunikacji miejskiej na wsi;2014;172,2;km
6040000000;linie komunikacji miejskiej na wsi;2015;175,7;km
6040000000;linie autobusowe;2012;1401;km
6040000000;linie autobusowe;2013;2046;km
6040000000;linie autobusowe;2014;1542,5;km
6040000000;linie autobusowe;2015;1633,7;km
6040000000;linie tramwajowe;2012;128;km
6040000000;linie tramwajowe;2013;127;km
6040000000;linie tramwajowe;2014;126,3;km
6040000000;linie tramwajowe;2015;126,8;km
6220000000;linie komunikacji miejskiej;2012;2985;km
6220000000;linie komunikacji miejskiej;2013;2954;km
6220000000;linie komunikacji miejskiej;2014;2959,7;km
6220000000;linie komunikacji miejskiej;2015;2902;km
6220000000;linie komunikacji miejskiej na wsi;2012;331;km
6220000000;linie komunikacji miejskiej na wsi;2013;289;km
6220000000;linie komunikacji miejskiej na wsi;2014;333,8;km
6220000000;linie komunikacji miejskiej na wsi;2015;321,1;km
6220000000;linie autobusowe;2012;2664;km
6220000000;linie autobusowe;2013;2633;km
6220000000;linie autobusowe;2014;2624,7;km
6220000000;linie autobusowe;2015;2559,6;km
6220000000;linie tramwajowe;2012;156;km
6220000000;linie tramwajowe;2013;156;km
6220000000;linie tramwajowe;2014;156;km
6220000000;linie tramwajowe;2015;162,4;km
6280000000;linie komunikacji miejskiej;2012;1198;km
6280000000;linie komunikacji miejskiej;2013;1231;km
6280000000;linie komunikacji miejskiej;2014;1244,2;km
6280000000;linie komunikacji miejskiej;2015;1243,5;km
6280000000;linie komunikacji miejskiej na wsi;2012;403;km
6280000000;linie komunikacji miejskiej na wsi;2013;397;km
6280000000;linie komunikacji miejskiej na wsi;2014;399,5;km
6280000000;linie komunikacji miejskiej na wsi;2015;399,5;km
6280000000;linie autobusowe;2012;1188;km
6280000000;linie autobusowe;2013;1189;km
6280000000;linie autobusowe;2014;1202,2;km
6280000000;linie autobusowe;2015;1182,5;km
6280000000;linie tramwajowe;2012;9;km
6280000000;linie tramwajowe;2013;42;km
6280000000;linie tramwajowe;2014;42;km
6280000000;linie tramwajowe;2015;61;km
